id,path,purpose,format,dimensions,variant,source,license
ICON-CALENDAR,icons/calendar.svg,Интерфейс / calendar,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-BOOKING,icons/booking.svg,Интерфейс / booking,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-BUILDING,icons/building.svg,Интерфейс / building,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-GUEST,icons/guest.svg,Интерфейс / guest,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-MONEY,icons/money.svg,Интерфейс / money,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CHART,icons/chart.svg,Интерфейс / chart,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CHANNELS,icons/channels.svg,Интерфейс / channels,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-MESSAGE,icons/message.svg,Интерфейс / message,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-SETTINGS,icons/settings.svg,Интерфейс / settings,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-SEARCH,icons/search.svg,Интерфейс / search,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-PLUS,icons/plus.svg,Интерфейс / plus,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CLOSE,icons/close.svg,Интерфейс / close,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CHEVRON-LEFT,icons/chevron-left.svg,Интерфейс / chevron-left,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CHEVRON-RIGHT,icons/chevron-right.svg,Интерфейс / chevron-right,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CHEVRON-DOWN,icons/chevron-down.svg,Интерфейс / chevron-down,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-CHECK,icons/check.svg,Интерфейс / check,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-WARNING,icons/warning.svg,Интерфейс / warning,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-LOCK,icons/lock.svg,Интерфейс / lock,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-REFRESH,icons/refresh.svg,Интерфейс / refresh,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-DOWNLOAD,icons/download.svg,Интерфейс / download,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
ICON-UPLOAD,icons/upload.svg,Интерфейс / upload,SVG,24×24,currentColor,Оригинальная геометрия этого проекта,Собственный материал проекта
