id,name,evidence_scope,reservation_direction,cancellation_direction,availability,rates,stop_sell,min_stay,cta_ctd,extra_guest,hotels,source
INT-101HOTELS,101Hotels,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-101hotels-com-30957284.html
INT-APARTSHARING,Apart Sharing,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,x,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-apartshering-com-30957261.html
INT-AVITO,Авито,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x¹,✔,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-avito-30958424.html
INT-BOOKING,Booking.com,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-booking-com-30957290.html
INT-BRONEVIK,Броневик,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-bronevik-com-30957321.html
INT-CIAN,Циан,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-cian-ru-30958419.html
INT-EDEMVGOSTI,Едем-в-Гости.ру,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,x,x,x,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-edem-v-gosti-ru-30958347.html
INT-OSTROVOK,Островок,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-ostrovok-30958338.html
INT-EMERGINGTRAVEL,Emerging Travel,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-emerging-travel-61374539.html
INT-EXPEDIA,Expedia,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-expedia-com-30957316.html
INT-FORENTO,Forento.ru / Vkrim.info,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-forento-ru-vkrim-info-30957216.html
INT-HOTELBOOK,Hotelbook,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-hotelbook-30957209.html
INT-KUFAR,Kufar.by,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔ ¹,✔,x,x,x,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-kufar-by-30957294.html
INT-KVARTIRKA,Квартирка,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,x,x,x,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-kvartirka-30958373.html
INT-ONETWOTRIP,OneTwoTrip,"RC documented capability, NOT KeyCalendar access",OTA_to_RC (general API principles),OTA_to_RC; outbound not confirmed,✔,✔,✔,✔,✔,✔,✔,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-onetwotrip-com-30958353.html
