requirement_id,title,source_category,delivery_class,source_ids,source_urls,account_evidence_ids,verification_status,screen_id,screen_title,source_svg,preview_png,state_refs,responsive_refs,task_id,test_id,phase_registry,phase_backlog,task_dependencies,integration_links,adapter_task_ids,integration_ids,implementation_status,test_status,asset_link_status,variant_refs,variant_svg,variant_png
REQ-CAL-001,Единая шахматка занятости,account,mandatory_parity,DOC-001;ACC-002,https://new.realtycalendar.ru/products/booking;https://realtycalendar.ru/chessmate/,ACC-002,Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись,SCR-CAL-01,Шахматка,design/source/SCR-CAL-01.svg,design/exports/SCR-CAL-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-001,TEST-CAL-001,P1,P1,TASK-RES-001;TASK-RTE-001,,,,not_started,not_run,present,VAR-RES-DRAWER;VAR-CAL-OFFLINE,design/source/VAR-RES-DRAWER.svg;design/source/VAR-CAL-OFFLINE.svg,design/exports/VAR-RES-DRAWER.png;design/exports/VAR-CAL-OFFLINE.png
REQ-CAL-002,Выбор периода и переход к дате,account,mandatory_parity,ACC-002,https://realtycalendar.ru/chessmate/,ACC-002,Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись,SCR-CAL-01,Шахматка,design/source/SCR-CAL-01.svg,design/exports/SCR-CAL-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-002,TEST-CAL-002,P1,P1,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,VAR-RES-DRAWER;VAR-CAL-OFFLINE,design/source/VAR-RES-DRAWER.svg;design/source/VAR-CAL-OFFLINE.svg,design/exports/VAR-RES-DRAWER.png;design/exports/VAR-CAL-OFFLINE.png
REQ-CAL-003,Фильтры и поиск объектов,account,mandatory_parity,ACC-004,https://realtycalendar.ru/chessmate/,ACC-004,Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись,SCR-CAL-01,Шахматка,design/source/SCR-CAL-01.svg,design/exports/SCR-CAL-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-003,TEST-CAL-003,P1,P1,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,VAR-RES-DRAWER;VAR-CAL-OFFLINE,design/source/VAR-RES-DRAWER.svg;design/source/VAR-CAL-OFFLINE.svg,design/exports/VAR-RES-DRAWER.png;design/exports/VAR-CAL-OFFLINE.png
REQ-CAL-004,Плотность календаря и обозначения источника,documented,mandatory_parity,DOC-004;DOC-013;ACC-002;ACC-003;ACC-007,https://confluence.lan.realtycalendar.ru/kb/istochniki-bronirovanij-30958511.html;https://confluence.lan.realtycalendar.ru/kb/otobrayoenie-zadolyoennosti-po-oplate-bronirovanij-30958541.html;https://realtycalendar.ru/chessmate/,ACC-002;ACC-003;ACC-007,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-CAL-02,Вид календаря и фильтры,design/source/SCR-CAL-02.svg,design/exports/SCR-CAL-02.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-004,TEST-CAL-004,P1,P1,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,,,
REQ-CAL-005,Создание через выделение диапазона,documented,mandatory_parity,DOC-003,https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-CAL-01,Шахматка,design/source/SCR-CAL-01.svg,design/exports/SCR-CAL-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-005,TEST-CAL-005,P1,P1,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,VAR-RES-DRAWER;VAR-CAL-OFFLINE,design/source/VAR-RES-DRAWER.svg;design/source/VAR-CAL-OFFLINE.svg,design/exports/VAR-RES-DRAWER.png;design/exports/VAR-CAL-OFFLINE.png
REQ-CAL-006,Блокировка продаж и буфер вокруг проживания,documented,mandatory_parity,DOC-008;DOC-003,https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html;https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-CAL-03,Блокировка дат,design/source/SCR-CAL-03.svg,design/exports/SCR-CAL-03.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-006,TEST-CAL-006,P1,P1,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,,,
REQ-CAL-007,Обнаружение и разрешение пересечений,documented,mandatory_parity,DOC-003;DOC-006,https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html;https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-CAL-04,Конфликт занятости,design/source/SCR-CAL-04.svg,design/exports/SCR-CAL-04.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-007,TEST-CAL-007,P1,P1,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,,,
REQ-CAL-008,Работа с крупным портфелем,proposed,mandatory_platform,,,,Предложено для Кей Календаря; наличие в RealtyCalendar не заявляется,SCR-CAL-01,Шахматка,design/source/SCR-CAL-01.svg,design/exports/SCR-CAL-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-008,TEST-CAL-008,P2,P2,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,VAR-RES-DRAWER;VAR-CAL-OFFLINE,design/source/VAR-RES-DRAWER.svg;design/source/VAR-CAL-OFFLINE.svg,design/exports/VAR-RES-DRAWER.png;design/exports/VAR-CAL-OFFLINE.png
REQ-CAL-009,Просмотр календаря офлайн,documented,mandatory_parity,DOC-027,https://confluence.lan.realtycalendar.ru/kb/realtycalendar-zachem-on-vam-nuyoen-30954634.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-CAL-01,Шахматка,design/source/SCR-CAL-01.svg,design/exports/SCR-CAL-01.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-CAL-009,TEST-CAL-009,P2,P2,TASK-RES-001;TASK-RTE-001;TASK-CAL-001,,,,not_started,not_run,present,VAR-RES-DRAWER;VAR-CAL-OFFLINE,design/source/VAR-RES-DRAWER.svg;design/source/VAR-CAL-OFFLINE.svg,design/exports/VAR-RES-DRAWER.png;design/exports/VAR-CAL-OFFLINE.png
REQ-RES-001,Ручная бронь и предварительная заявка,documented,mandatory_parity,DOC-003,https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html,,Подтверждено публичным источником; операции в аккаунте не выполнялись,SCR-RES-02,Новое бронирование,design/source/SCR-RES-02.svg,design/exports/SCR-RES-02.png,STATE-01;STATE-02;STATE-03;STATE-04;STATE-05;STATE-06,SCR-MOBILE-01;SCR-MOBILE-02;SCR-TABLET-01,TASK-RES-001,TEST-RES-001,P1,P1,TASK-OBJ-004;TASK-RTE-001;TASK-GST-001,,,,not_started,not_run,present,VAR-RES-VALIDATION,design/source/VAR-RES-VALIDATION.svg,design/exports/VAR-RES-VALIDATION.png
