"id","domain","gap","status","next_action","owner","phase"
"GAP-REF-001","CAL","Вид календаря, фильтры, параметры и диапазоны","observed_read_only","ACC-002..004 подтверждают контролы; сочетания/лимиты проверять на синтетическом стенде KC","root/account","P1"
"GAP-REF-002","CAL","Гонки одновременного создания и локальные пересечения","not_tested_read_only","Не тестировать на реальных данных; приемка на синтетическом стенде KC","engineering","P1"
"GAP-REF-003","RES","Отмена/удаление/восстановление и исходящий эффект OTA","not_tested_read_only","Сверить инструкцию канала; тест только в доступном sandbox","integration-owner","P3"
"GAP-REF-004","OBJ","Реальная структура категорий, единиц и архива заказчика","partially_observed","ACC-OBJ-01 и закрытая опись; получить полный экспорт объектов/единиц с устойчивыми ID","migration-owner","P1"
"GAP-REF-005","RTE","Фактические сезонные и специальные правила заказчика","partially_observed","ACC-RTE-01 показывает выборку тарифов; требуется полный набор цен/сезонов/override и периодов","migration-owner","P1"
"GAP-REF-006","RTE","Детские тарифы: возрастные границы и передача в каждый OTA","public_product_claim","Найти подробную инструкцию/партнерский контракт; до этого direct-only","product-owner","P2"
"GAP-REF-007","RTE","Пограничное взаимодействие сезонов/скидок/окон","documentation_partial","Зафиксировать расчетную спецификацию KC и таблицу golden cases","engineering","P1"
"GAP-REF-008","GST","Точный механизм Кто звонит и допустимая телефония","public_product_claim","Запросить условия провайдера, не обещать API","integration-owner","P3"
"GAP-REF-009","GST","Подписание договора: тип подписи и доказательства","public_product_claim","Согласовать юрмодель, способы аутентификации и хранение доказательств","legal-owner","P2"
"GAP-REF-010","GST","Состав безопасного экспорта и персональные данные","export_obtained_incomplete","ACC-006: девять колонок экспорта; нет ID/статусов/валюты/финансовой истории. Дополнительный экспорт и сверка по data/migration-spec.md","migration-owner","P1"
"GAP-REF-011","FIN","Долг на дату и полный остаток в RC описаны неоднозначно","documentation_ambiguity","Принять раздельные показатели KC и не переносить эвристику","product-owner","P1"
"GAP-REF-012","FIN","Реальное подключение платежей/кассы/залога заказчика","configuration_observed_not_exercised","ACC-PAY-01/ACC-FIN-01: интерфейс Moneta и залогов виден; подтвердить мерчанта/договор/кассу отдельно","root/account","P3"
"GAP-REF-013","REP","Исторические ночные цены/комиссии для точного отчета","migration_dependency","Проверить доступные поля экспорта; отсутствующее отмечать оценкой","migration-owner","P1"
"GAP-REF-014","REP","Excel-экспорт Финансы и загрузка отсутствует по справке","documented_limitation","Собственный экспорт считать дополнением, не готовым переносом","product-owner","P4"
"GAP-REF-015","MSG","Доступность Автосообщений и Автопилота в тарифе","catalog_observed_addons_unverified","ACC-INT-01: Автопилот в каталоге; дополнения не активированы, изучены по документации","root/account","P2"
"GAP-REF-016","MSG","Доставка, WhatsApp/MAX/Telegram ограничения и расходы","external_access_dependency","Официальный договор/API/sandbox каждого канала","integration-owner","P3"
"GAP-REF-017","RES","Публичная бронь: удержание и оплата при одновременной покупке","not_tested_read_only","Тестировать в KC sandbox, не размещать реальный заказ","engineering","P2"
"GAP-REF-018","OPS","Автопилот: уборки/начисления/счетчики/задачи","public_product_claim","Отдельные OPS требования и сценарии; функции скрытого тарифа не исключать","architecture-owner","P2"
"GAP-REF-019","IAM","Разрешения конкретной роли предоставленного пользователя","account_evidence_pending","Просмотреть сотрудников/права; не менять роль для исследования","root/account","P1"
"GAP-REF-020","ALL","Производительность, SLA и нагрузочная емкость ориентира","not_publicly_confirmed","Использовать измеримые проектные цели KC, не выдавать их за свойства RC","architecture-owner","P1"
