id,name,category,protocol,evidence,keycalendar_status,checked_at,source,passport
INT-101HOTELS,101Hotels,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-101hotels-com-30957284.html,passports/INT-101HOTELS.md
INT-APARTSHARING,Apart Sharing,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-apartshering-com-30957261.html,passports/INT-APARTSHARING.md
INT-AVITO,Авито,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-avito-30958424.html,passports/INT-AVITO.md
INT-BOOKING,Booking.com,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-booking-com-30957290.html,passports/INT-BOOKING.md
INT-BRONEVIK,Броневик,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-bronevik-com-30957321.html,passports/INT-BRONEVIK.md
INT-CIAN,Циан,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-cian-ru-30958419.html,passports/INT-CIAN.md
INT-EDEMVGOSTI,Едем-в-Гости.ру,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-edem-v-gosti-ru-30958347.html,passports/INT-EDEMVGOSTI.md
INT-OSTROVOK,Островок,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-ostrovok-30958338.html,passports/INT-OSTROVOK.md
INT-EMERGINGTRAVEL,Emerging Travel,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-emerging-travel-61374539.html,passports/INT-EMERGINGTRAVEL.md
INT-EXPEDIA,Expedia,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-expedia-com-30957316.html,passports/INT-EXPEDIA.md
INT-FORENTO,Forento.ru / Vkrim.info,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-forento-ru-vkrim-info-30957216.html,passports/INT-FORENTO.md
INT-HOTELBOOK,Hotelbook,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-hotelbook-30957209.html,passports/INT-HOTELBOOK.md
INT-KUFAR,Kufar.by,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-kufar-by-30957294.html,passports/INT-KUFAR.md
INT-KVARTIRKA,Квартирка,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-kvartirka-30958373.html,passports/INT-KVARTIRKA.md
INT-ONETWOTRIP,OneTwoTrip,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-onetwotrip-com-30958353.html,passports/INT-ONETWOTRIP.md
INT-OTELLO,Отелло,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-otello-30957267.html,passports/INT-OTELLO.md
INT-OZONTRAVEL,Ozon Travel,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-ozon-travel-48432657.html,passports/INT-OZONTRAVEL.md
INT-ROOMOOK,Roomook,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-roomook-30957205.html,passports/INT-ROOMOOK.md
INT-SUTOCHNO,Суточно.ру,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-sutochno-30958435.html,passports/INT-SUTOCHNO.md
INT-TUTU,Туту,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-tutu-ru-30957166.html,passports/INT-TUTU.md
INT-ROOMLINK,Roomlink (ранее Забронируй.ру),channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-roomlink-ranee-zabroniruj-ru-30957300.html,passports/INT-ROOMLINK.md
INT-VEZDEKAKDOMA,Везде как дома,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-vezde-kak-doma-30957279.html,passports/INT-VEZDEKAKDOMA.md
INT-GDEKVARTIRA,ГдеКвартира.су,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-gdekvartira-su-30957256.html,passports/INT-GDEKVARTIRA.md
INT-DOMKLIK24,Домклик24,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-domklik24-30957191.html,passports/INT-DOMKLIK24.md
INT-ZHILIBYLI,ЖилиБыли,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-zhilibyli-30957272.html,passports/INT-ZHILIBYLI.md
INT-PRIVETTUR,ПриветТур!,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-privettur-30957198.html,passports/INT-PRIVETTUR.md
INT-CBOOKING,Cbooking.ru,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-sbooking-30958388.html,passports/INT-CBOOKING.md
INT-TVIL,ТВИЛ,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-tvil-ru-30958440.html,passports/INT-TVIL.md
INT-YANDEXTRAVEL,Яндекс Путешествия,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-yandeks-puteshestviya-39911704.html,passports/INT-YANDEXTRAVEL.md
INT-TRIPVENUE,Трипвеню,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-tripvenyu-30957185.html,passports/INT-TRIPVENUE.md
INT-KURORTIX,Миртурбаз / Kurortix,channel,API (RC); KeyCalendar access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-mirturbaz-kurortix-43155582.html,passports/INT-KURORTIX.md
INT-ALEAN,Алеан,channel,partner sync; wire protocol unknown,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-alean-43155552.html,passports/INT-ALEAN.md
INT-LIGAKVARTIR,Лига Квартир,channel,iCal,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-liga-kvartir-30958466.html,passports/INT-LIGAKVARTIR.md
INT-AIRBNB,Airbnb,channel,iCal,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-airbnb-30958460.html,passports/INT-AIRBNB.md
INT-REALT,Realt,channel,iCal,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-realt-48432785.html,passports/INT-REALT.md
INT-GOOGLECALENDAR,Google Calendar,calendar,iCal export,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/sinhronizatsiya-s-google-calendar-30958455.html,passports/INT-GOOGLECALENDAR.md
INT-MONETA-PERSONAL,Монета для физических лиц,payment,partner payment integration; wire protocol unknown,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-moneta-dlya-fizicheskih-lits-30958553.html,passports/INT-MONETA-PERSONAL.md
INT-MONETA-BUSINESS,Монета для ИП и юридических лиц,payment,partner payment/fiscal integration; wire protocol unknown,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/podklyuchenie-monety-dlya-yurlits-i-ip-48432578.html,passports/INT-MONETA-BUSINESS.md
INT-AMOCRM,amoCRM,crm,marketplace widget; own API access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/opisanie-raboty-vidyoeta-realtycalendar-dlya-amocrm-30958606.html,passports/INT-AMOCRM.md
INT-BITRIX24,Битрикс24,crm,marketplace widget; own API access pending,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/kak-rabotaet-vidyoet-realtycalendar-dlya-bitrix24-30958598.html,passports/INT-BITRIX24.md
INT-OKIDOKI,ОкиДоки,contracts,API token,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/integratsiya-s-okidoki-30958569.html,passports/INT-OKIDOKI.md
INT-TTLOCK,TTLock,access,provider integration; wire contract requires access,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/integratsiya-s-ttlock-60162112.html,passports/INT-TTLOCK.md
INT-ROOMSHARING,Roomsharing Norke,access,outgoing webhook,DOC,external_access_pending,2026-09-24,https://confluence.lan.realtycalendar.ru/kb/integratsiya-s-servisom-roomsharing-norke-30958576.html,passports/INT-ROOMSHARING.md
