"requirement_id","realtycalendar_capability","keycalendar_requirement","screen_ids","phase","readiness_criteria","source_ids","source_urls","verification","account_scope","implementation_status","task_id","test_id"
"REQ-CAL-001","В аккаунте видны строки объектов, цены свободных ячеек и полосы броней.","Единая шахматка занятости","SCR-CAL-01","P1","Бронь 10–12 занимает две ночи; новая с 12 допустима при отсутствии буфера | Скрытые ролью объекты и суммы не приходят в ответе календаря","DOC-001 | ACC-002","https://new.realtycalendar.ru/products/booking | https://realtycalendar.ru/chessmate/","Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись","Создание, перенос, конкурентная запись","not_started","TASK-CAL-001","TEST-CAL-001"
"REQ-CAL-002","В аккаунте видны переходы сегодня/месяц/дата и многомесячный диапазон.","Выбор периода и переход к дате","SCR-CAL-01","P1","Переход с 25 декабря на 31 день корректно отображает январь | Возврат браузером восстанавливает диапазон и фильтры","ACC-002","https://realtycalendar.ru/chessmate/","Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись","Создание, перенос, конкурентная запись","not_started","TASK-CAL-002","TEST-CAL-002"
"REQ-CAL-003","В аккаунте видны поиск ID/название/адрес и фильтры города, удобств, комнат, гостей, свободных дат и типа.","Фильтры и поиск объектов","SCR-CAL-01","P1","При запросе 2 гостей на 3 ночи не показываются объекты с занятостью хотя бы одной ночи | Сброс удаляет все активные фильтры и возвращает доступный портфель","ACC-004","https://realtycalendar.ru/chessmate/","Проверено только указанное чтение аккаунта; изменяющие операции и целевая приемка не выполнялись","Все сочетания и лимиты данных","not_started","TASK-CAL-003","TEST-CAL-003"
"REQ-CAL-004","Источник и индикатор оплаты могут отображаться в шахматке.","Плотность календаря и обозначения источника","SCR-CAL-02","P1","При отключении денег исчезают сумма, долг и индикатор, а не только текст | Две одноименные сокращенные метки имеют различимые полные названия","DOC-004 | DOC-013 | ACC-002 | ACC-003 | ACC-007","https://confluence.lan.realtycalendar.ru/kb/istochniki-bronirovanij-30958511.html | https://confluence.lan.realtycalendar.ru/kb/otobrayoenie-zadolyoennosti-po-oplate-bronirovanij-30958541.html | https://realtycalendar.ru/chessmate/","Подтверждено публичным источником; операции в аккаунте не выполнялись","Создание, перенос, конкурентная запись Сохраняемые настройки не переключались Не проверены действием все настройки, сотрудники и платные опции","not_started","TASK-CAL-004","TEST-CAL-004"
"REQ-CAL-005","Период события можно выделить мышью на календаре.","Создание через выделение диапазона","SCR-CAL-01","P1","Один выбранный день преобразуется в одну ночь с выездом на следующий день | Escape отменяет выделение без записи и уведомлений","DOC-003","https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-CAL-005","TEST-CAL-005"
"REQ-CAL-006","Спецусловия закрывают продажи; карточка брони учитывает блокировку соседних дней.","Блокировка продаж и буфер вокруг проживания","SCR-CAL-03","P1","Блок 10–12 запрещает продажу этих ночей и не увеличивает выручку | Попытка увеличить буфер поверх подтвержденной брони возвращает конфликт с ссылкой","DOC-008 | DOC-003","https://confluence.lan.realtycalendar.ru/kb/spets-usloviya-osobennosti-nastrojka-i-redaktirovanie-v-desktopnoj-i-mobil-noj-versiyah-30955765.html | https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-CAL-006","TEST-CAL-006"
"REQ-CAL-007","Восстановление удаленной брони может пересечь другую; фонд допускает неразобранные.","Обнаружение и разрешение пересечений","SCR-CAL-04","P1","Из двух параллельных запросов на один номер успешен один | Отклонение второго не удаляет входящее внешнее событие; создается задача менеджеру","DOC-003 | DOC-006","https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html | https://confluence.lan.realtycalendar.ru/kb/nomernoj-fond-30955555.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-CAL-007","TEST-CAL-007"
"REQ-CAL-009","Задокументировано офлайн-чтение окна −7/+30 дней.","Просмотр календаря офлайн","SCR-CAL-01","P2","При потере сети видны разрешенная занятость и время снимка; чувствительные сведения и запись недоступны | Logout удаляет снимок; после появления сети отзыв прав очищает данные","DOC-027","https://confluence.lan.realtycalendar.ru/kb/realtycalendar-zachem-on-vam-nuyoen-30954634.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-CAL-009","TEST-CAL-009"
"REQ-RES-001","Бронь закрывает даты, заявка их не закрывает.","Ручная бронь и предварительная заявка","SCR-RES-02","P1","Заявка не мешает создать бронь на эти даты | Перевод заявки в бронь при новом конфликте блокируется с объяснением","DOC-003","https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-001","TEST-RES-001"
"REQ-RES-002","Документированы изменение дат, объекта/комнаты, стоимости, гостя и примечаний.","Карточка, изменение и перенос брони","SCR-RES-03","P1","При переносе 10–12 с А на Б А освобождается, Б закрывается одной транзакцией | Устаревшая форма показывает актуальную версию и сохраняет черновик","DOC-003","https://confluence.lan.realtycalendar.ru/kb/sozdanie-sobytiya-zayavka-bron-otmena-ili-udaleno-30957142.html","Подтверждено публичным источником; операции в аккаунте не выполнялись","Не проверено в аккаунте","not_started","TASK-RES-002","TEST-RES-002"
